Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
"2,2,2-trifluoroacetonitrile",353-85-5,94.998,2.33,(3.41),0.36,-,0.36,-,31,(32),18 ,-,18 ,-,,
1-oxidopyridin-1-ium,694-59-7,95.037,7.82,-,0.27,0.27,-,-,104,-,6 ,6 ,-,-,,
"2,5-dimethyl-1h-pyrrole",625-84-3,95.073,0.71,-,0.92,0.12,1.01,-,69,-,10 ,1 ,9 ,-,,
"2,4-dimethyl-1h-pyrrole",625-82-1,95.073,0.75,-,1.31,0.17,1.45,-,49,-,9 ,1 ,8 ,-,,
methanesulfonic acid,75-75-2,95.988,5.77,(29.79),0.38,0.38,-,-,10,(13),13 ,13 ,-,-,,
1-methylcyclohexene,591-49-1,96.094,1.98,(5.04),0.14,0.14,-,-,82,(103),25 ,25 ,-,-,,
4-methylcyclohexene,591-47-9,96.094,2.52,-,0.19,0.19,-,-,12,-,17 ,17 ,-,-,,
7-oxabicyclo[4.1.0]heptane,286-20-4,98.073,0.85,-,0.07,0.07,-,-,31,-,10 ,10 ,-,-,,
"(e)-4,4-dimethylpent-2-ene",690-08-4,98.110,0.73,-,0.01,0.01,-,-,17,-,3 ,3 ,-,-,,
"(z)-4,4-dimethylpent-2-ene",762-63-0,98.110,0.16,-,0.00,0.00,-,-,17,-,3 ,3 ,-,-,,
"2,4-dimethylpent-1-ene",2213-32-3,98.110,0.29,-,0.02,0.02,-,-,20,-,4 ,4 ,-,-,,
"4,4-dimethylpent-1-ene",762-62-9,98.110,0.75,-,0.00,0.00,-,-,21,-,3 ,3 ,-,-,,
(z)-3-methylhex-3-ene,4914-89-0,98.110,0.06,-,0.03,0.03,-,-,13,-,3 ,3 ,-,-,,
2-methyl-3-methylidenepentane,7357-93-9,98.110,1.77,-,0.52,0.52,-,-,21,-,4 ,4 ,-,-,,
"2,4-dimethylpent-2-ene",625-65-0,98.110,2.28,(3.16),0.01,0.01,-,-,42,(43),3 ,3 ,-,-,,
3-isothiocyanatoprop-1-ene,57-06-7,99.014,4.81,-,0.35,0.35,-,-,37,-,11 ,11 ,-,-,,
3-ethoxypropanenitrile,2141-62-0,99.068,2.89,-,0.17,0.17,-,-,18,-,9 ,9 ,-,-,,
1-isocyanatobutane,111-36-4,99.068,3.46,(7.15),1.40,1.65,0.40,-,45,(57),5 ,4 ,1 ,-,,
2-methylpiperidine,109-05-7,99.105,0.78,-,0.12,0.12,-,-,27,-,6 ,6 ,-,-,,
"2,2,2-trifluoroethanol",75-89-8,100.014,1.22,(2.19),0.67,0.67,0.11,(1.24),613,(643),753 ,741 ,12 ,(69),,
trifluoro(methoxy)methane,421-14-7,100.014,3.25,(3.56),1.01,1.05,0.50,(3.47),106,(109),233 ,217 ,16 ,(204),,
oxan-2-one,542-28-9,100.052,4.23,(9.93),1.94,1.94,-,-,68,(77),22 ,22 ,-,-,,
methyl cyclopropanecarboxylate,2868-37-3,100.052,2.18,-,0.11,0.11,-,-,12,-,8 ,8 ,-,-,,
cyclobutanecarboxylic acid,3721-95-7,100.052,1.43,(4.22),0.02,0.02,-,-,9,(11),9 ,9 ,-,-,,
methoxycyclopentane,5614-37-9,100.089,0.91,-,0.20,0.20,-,-,95,-,144 ,144 ,-,-,,
1-methylcyclopentan-1-ol,1462-03-9,100.089,9.48,-,0.09,0.09,-,-,5,-,4 ,4 ,-,-,,
1-methylpiperazine,109-01-3,100.100,1.33,-,0.13,0.13,-,-,40,-,22 ,22 ,-,-,,
"n,n-diethylformamide",617-84-5,101.084,1.54,(3.41),0.27,0.27,-,-,18,(21),8 ,8 ,-,-,,
"n,n-dimethylpropanamide",758-96-3,101.084,1.99,-,0.06,0.06,-,-,16,-,27 ,27 ,-,-,,
4-methylmorpholine,109-02-4,101.084,0.85,(13.05),0.35,0.35,-,-,63,(79),9 ,9 ,-,-,,
"4-methyl-1,3-dioxolan-2-one",108-32-7,102.032,2.86,(15.38),0.81,0.81,-,-,349,(384),232 ,232 ,-,-,,
thiane,1613-51-0,102.050,1.33,-,0.17,0.17,-,-,26,-,7 ,7 ,-,-,,
"n,n-diethylnitrous amide",55-18-5,102.079,5.86,-,0.17,0.17,-,-,7,-,9 ,9 ,-,-,,
2-methylpentan-3-ol,565-67-3,102.104,2.59,(3.08),0.20,0.20,-,-,63,(67),15 ,15 ,-,-,,
"2,2-dimethylbutan-1-ol",1185-33-7,102.104,2.57,-,0.53,0.53,-,-,22,-,41 ,41 ,-,-,,
2-methylpentan-2-ol,590-36-3,102.104,3.14,(5.44),0.47,0.47,-,-,40,(48),19 ,19 ,-,-,,
4-methylpentan-1-ol,626-89-1,102.104,1.66,(3.74),0.51,0.51,-,-,36,(40),17 ,17 ,-,-,,
"2,3-dimethylbutan-2-ol",594-60-5,102.104,1.72,-,0.07,0.07,-,-,50,-,15 ,15 ,-,-,,
2-methyl-2-nitropropane,594-70-7,103.063,0.98,-,0.04,0.04,-,-,22,-,3 ,3 ,-,-,,
1-nitrobutane,627-05-4,103.063,1.87,(4.07),0.18,0.18,-,-,31,(36),35 ,35 ,-,-,,
2-nitrobutane,600-24-8,103.063,0.66,-,0.01,0.01,-,-,17,-,3 ,3 ,-,-,,
1-(dimethylamino)propan-2-ol,108-16-7,103.100,0.96,-,0.03,0.03,-,-,37,-,14 ,14 ,-,-,,
3-ethoxypropan-1-amine,6291-85-6,103.100,0.92,(6.64),0.05,0.05,-,-,5,(7),5 ,5 ,-,-,,
pyridine-4-carbonitrile,100-48-1,104.037,0.50,-,0.03,0.03,-,-,6,-,5 ,5 ,-,-,,
chlorocyclopentane,930-28-9,104.039,0.89,-,0.18,0.18,-,-,19,-,10 ,10 ,-,-,,
2-hydroxyethyl acetate,542-59-6,104.047,2.92,(5.75),0.25,0.25,-,-,33,(37),14 ,14 ,-,-,,
trimethyl borate,121-43-7,104.064,3.82,(3.84),4.94,4.94,-,-,59,(60),25 ,25 ,-,-,,
2-methylbutane-2-thiol,1679-09-0,104.066,0.29,-,0.11,0.11,-,-,16,-,9 ,9 ,-,-,,
3-methylbutane-1-thiol,541-31-1,104.066,0.60,-,0.01,0.01,-,-,23,-,8 ,8 ,-,-,,
"2,2-dimethoxypropane",77-76-9,104.084,4.16,-,0.31,0.31,-,-,67,-,13 ,13 ,-,-,,
2-propan-2-yloxyethanol,109-59-1,104.084,1.46,(4.26),0.46,0.46,-,-,25,(28),83 ,83 ,-,-,,
"pentane-1,2-diol",5343-92-0,104.084,1.03,(10.28),0.14,0.14,-,-,18,(19),6 ,6 ,-,-,,
propyl nitrate,627-13-4,105.043,1.42,-,0.09,0.09,-,-,11,-,7 ,7 ,-,-,,
1-ethylsulfinylethane,70-29-1,106.045,3.08,(9.45),0.16,0.16,-,-,7,(9),26 ,26 ,-,-,,
2-chloro-2-methylbutane,594-36-5,106.055,1.67,(6.63),0.03,0.03,-,-,21,(23),7 ,7 ,-,-,,
methoxy(methoxymethoxy)methane,628-90-0,106.063,1.74,-,1.54,1.54,-,-,10,-,18 ,18 ,-,-,,
"2,3-dimethylpyridine",583-61-9,107.073,0.14,-,0.19,0.22,0.16,-,48,-,14 ,6 ,8 ,-,,
"2,4-dimethylpyridine",108-47-4,107.073,1.29,(1.39),0.09,0.09,-,-,105,(106),9 ,9 ,-,-,,
"3,5-dimethylpyridine",591-22-0,107.073,1.20,-,0.18,0.18,-,-,99,-,6 ,6 ,-,-,,
2-ethylpyridine,100-71-0,107.073,6.48,(22.17),0.15,0.15,-,-,15,(19),4 ,4 ,-,-,,
"2,5-dimethylpyridine",589-93-5,107.073,1.61,(15.26),0.27,0.27,-,-,52,(66),7 ,7 ,-,-,,
3-ethylpyridine,536-78-7,107.073,2.31,(3.43),0.19,0.19,-,-,17,(18),5 ,5 ,-,-,,
4-ethylpyridine,536-75-4,107.073,1.31,-,0.10,0.10,-,-,19,-,4 ,4 ,-,-,,
3-methyl-1-oxidopyridin-1-ium,1003-73-2,109.053,3.60,-,0.25,0.25,-,-,69,-,5 ,5 ,-,-,,
dimethyl sulfite,616-42-2,110.004,2.04,(3.06),0.11,0.11,-,-,8,(9),6 ,6 ,-,-,,
dimethoxy(oxo)phosphanium,868-85-9,110.013,3.82,(8.06),0.56,0.56,-,-,53,(65),18 ,18 ,-,-,,
1-fluoro-4-methylbenzene,352-32-9,110.053,1.82,(2.17),0.18,0.18,-,-,30,(31),16 ,16 ,-,-,,
1-fluoro-3-methylbenzene,352-70-5,110.053,1.54,-,0.19,0.19,-,-,7,-,8 ,8 ,-,-,,
"octa-1,7-diene",3710-30-3,110.110,1.19,-,0.13,0.13,-,-,22,-,23 ,23 ,-,-,,
heptanenitrile,629-08-3,111.105,2.14,(4.36),0.04,0.04,-,-,114,(125),11 ,11 ,-,-,,
2-methylcyclohexan-1-one,583-60-8,112.089,1.72,(2.72),0.43,0.43,-,-,68,(70),20 ,20 ,-,-,,
cycloheptanone,502-42-1,112.089,3.10,(3.52),0.09,0.09,-,-,30,(31),25 ,25 ,-,-,,
3-methylcyclohexan-1-one,591-24-2,112.089,0.86,(1.21),0.23,0.23,-,-,30,(31),12 ,12 ,-,-,,
4-methylcyclohexan-1-one,589-92-4,112.089,1.94,(2.21),0.64,0.64,-,-,34,(35),12 ,12 ,-,-,,
"(e)-2,2-dimethylhex-3-ene",690-93-7,112.125,0.07,-,0.01,0.01,-,-,19,-,3 ,3 ,-,-,,
"(z)-2,2-dimethylhex-3-ene",690-92-6,112.125,0.27,(0.94),0.00,0.00,-,-,21,(22),3 ,3 ,-,-,,
3-ethyl-2-methylpent-1-ene,19780-66-6,112.125,0.05,-,0.01,0.01,-,-,18,-,3 ,3 ,-,-,,
2-chloropyridine,109-09-1,113.003,7.86,-,0.07,0.07,-,-,11,-,7 ,7 ,-,-,,
"2,6-dimethylpiperidine",504-03-0,113.120,0.97,(2.44),0.12,0.12,-,-,11,(12),7 ,7 ,-,-,,
methanesulfonyl chloride,124-63-0,113.954,1.79,(49.49),0.78,0.78,-,-,50,(61),13 ,13 ,-,-,,
trimethylgallane,1445-79-0,113.996,1.57,(4.80),1.69,1.69,-,-,76,(90),3 ,3 ,-,-,,
"(z)-1,3,3,3-tetrafluoroprop-1-ene",29118-25-0,114.009,0.99,-,3.73,3.68,4.86,(4.43),181,-,707 ,676 ,31 ,(166),,
thiophen-2-ylmethanol,636-72-6,114.014,0.37,-,0.48,0.48,-,-,37,-,167 ,167 ,-,-,,
"4-ethenyl-1,3-dioxolan-2-one",4427-96-7,114.032,10.18,(11.11),0.11,0.11,-,-,24,(25),8 ,8 ,-,-,,
methyl cyclobutanecarboxylate,765-85-5,114.068,3.78,-,0.09,0.09,-,-,20,-,8 ,8 ,-,-,,
5-ethyloxolan-2-one,695-06-7,114.068,6.38,(23.68),0.04,0.04,-,-,36,(46),8 ,8 ,-,-,,
6-methyloxan-2-one,823-22-3,114.068,1.66,(5.09),0.05,0.05,-,-,29,(37),8 ,8 ,-,-,,
cyclopentyl formate,62781-99-1,114.068,0.78,-,0.07,0.07,-,-,13,-,9 ,9 ,-,-,,
ethyl cyclopropanecarboxylate,4606-07-9,114.068,1.51,-,0.03,0.03,-,-,11,-,8 ,8 ,-,-,,
triethylalumane,97-93-8,114.099,12.99,(28.52),2.51,2.51,-,-,58,(62),31 ,31 ,-,-,,
cycloheptanol,502-41-0,114.104,2.00,(2.94),0.44,0.44,-,-,31,(32),14 ,14 ,-,-,,
"3,4-dimethylpentanal",19353-21-0,114.104,0.27,-,0.08,0.08,-,-,12,-,6 ,6 ,-,-,,
2-methylcyclohexan-1-ol,583-59-5,114.104,2.03,(2.58),0.21,0.21,-,-,63,(66),23 ,23 ,-,-,,
cyclohexylmethanol,100-49-2,114.104,3.69,(6.92),0.08,0.08,-,-,8,(10),18 ,18 ,-,-,,
"1,4-dimethylpiperazine",106-58-1,114.116,2.41,(6.41),0.46,0.46,-,-,51,(59),3 ,3 ,-,-,,
"2,2,2-trifluoroacetyl fluoride",354-34-7,115.989,0.75,-,0.03,0.03,-,-,15,-,7 ,7 ,-,-,,
"4-ethyl-1,3-dioxolan-2-one",4437-85-8,116.047,1.29,-,0.15,0.15,-,-,49,-,8 ,8 ,-,-,,
methyl 3-methylbutanoate,556-24-1,116.084,1.01,-,0.09,0.09,-,-,30,-,10 ,10 ,-,-,,
methyl pentanoate,624-24-8,116.084,3.00,(3.63),0.92,0.92,0.68,-,202,(207),277 ,275 ,2 ,-,,
3-methylbutyl formate,110-45-2,116.084,1.53,(1.73),0.61,0.61,-,-,74,(75),86 ,86 ,-,-,,
"1,1,3,3-tetramethylurea",632-22-4,116.095,1.18,(3.39),0.04,0.04,-,-,33,(35),64 ,64 ,-,-,,
triethylsilane,617-86-7,116.102,1.13,(4.86),0.03,0.03,-,-,10,(11),3 ,3 ,-,-,,
"2,3,3-trimethylbutan-2-ol",594-83-2,116.120,0.90,-,0.15,0.15,-,-,12,-,8 ,8 ,-,-,,
3-ethylpentan-3-ol,597-49-9,116.120,1.97,(5.87),0.40,0.40,-,-,27,(30),4 ,4 ,-,-,,
2-methyl-2-propan-2-yloxypropane,17348-59-3,116.120,0.25,(0.40),0.01,0.01,-,-,62,(63),3 ,3 ,-,-,,
2-methyl-2-propoxypropane,29072-93-3,116.120,0.24,-,0.02,0.02,-,-,16,-,3 ,3 ,-,-,,
4-methylbenzonitrile,104-85-8,117.058,1.91,(4.01),0.14,0.14,-,-,24,(28),4 ,4 ,-,-,,
1-nitropentane,628-05-7,117.079,1.38,-,0.02,0.02,-,-,11,-,8 ,8 ,-,-,,
2-chlorothiophene,96-43-5,117.964,2.69,(6.21),0.13,0.13,-,-,15,(19),4 ,4 ,-,-,,
diethyl carbonate,105-58-8,118.063,1.89,(2.15),0.21,0.21,-,-,381,(385),379 ,379 ,-,-,,
2-methoxyethyl acetate,110-49-6,118.063,2.52,(2.93),0.20,0.20,-,-,26,(27),103 ,103 ,-,-,,
methyl 3-methoxypropanoate,3852-09-3,118.063,5.56,-,0.18,0.18,-,-,17,-,4 ,4 ,-,-,,
1-ethylsulfanylbutane,638-46-0,118.082,0.44,-,0.12,0.12,-,-,19,-,7 ,7 ,-,-,,
hexane-2-thiol,1679-06-7,118.082,0.25,(4.11),0.09,0.09,-,-,6,(7),3 ,3 ,-,-,,
"hexane-1,2-diol",6920-22-5,118.099,1.55,(16.52),0.07,0.07,-,-,15,(16),15 ,15 ,-,-,,
isocyanatobenzene,103-71-9,119.037,2.50,(5.43),0.28,0.28,-,-,73,(79),10 ,10 ,-,-,,
butyl nitrate,928-45-0,119.058,2.34,(4.88),0.04,0.04,-,-,11,(12),7 ,7 ,-,-,,
5-chloropentan-2-one,5891-21-4,120.034,2.99,(4.01),0.13,0.13,-,-,29,(31),4 ,4 ,-,-,,
1-chlorohexane,544-10-5,120.071,1.14,-,0.35,0.37,0.03,-,74,-,266 ,249 ,17 ,-,,
2-phenylethanamine,64-04-0,121.089,2.17,(3.03),0.15,0.15,-,-,80,(82),7 ,7 ,-,-,,
2-propylpyridine,622-39-9,121.089,0.65,-,0.14,0.14,-,-,7,-,4 ,4 ,-,-,,
heptanedinitrile,646-20-8,122.084,0.25,(8.73),0.08,0.08,-,-,8,(10),4 ,4 ,-,-,,
nitrobenzene,98-95-3,123.032,2.82,(11.89),0.20,0.20,0.19,-,380,(476),379 ,359 ,20 ,-,,
stibane,7803-52-3,123.927,1.62,-,0.03,0.03,-,-,16,-,8 ,8 ,-,-,,
[methoxy(methyl)phosphoryl]oxymethane,756-79-6,124.029,3.78,(7.07),0.13,0.13,-,-,51,(58),14 ,14 ,-,-,,
trimethyl phosphite,121-45-9,124.029,3.94,(4.26),0.19,0.19,-,-,54,(55),10 ,10 ,-,-,,
"2,3,4,6,7,8-hexahydropyrrolo[1,2-a]pyrimidine",3001-72-7,124.100,1.82,-,0.12,0.12,-,-,18,-,7 ,7 ,-,-,,
"(3ar,7ar)-2,3,3a,4,5,6,7,7a-octahydro-1h-indene",3296-50-2,124.125,0.14,-,0.02,0.02,-,-,70,-,9 ,9 ,-,-,,
"(3as,7ar)-2,3,3a,4,5,6,7,7a-octahydro-1h-indene",4551-51-3,124.125,0.25,(0.43),0.06,0.06,-,-,80,(81),9 ,9 ,-,-,,
n-dichloroboranyl-n-methylmethanamine,1113-31-1,124.997,0.51,-,0.08,0.08,-,-,8,-,14 ,14 ,-,-,,
octanenitrile,124-12-9,125.120,2.83,(3.57),0.07,0.07,-,-,142,(148),8 ,8 ,-,-,,
dimethyl sulfate,77-78-1,125.999,4.79,(16.65),0.18,0.18,-,-,48,(61),35 ,35 ,-,-,,
1-thiophen-2-ylethanone,88-15-3,126.014,0.86,(1.37),0.18,0.18,-,-,29,(30),184 ,184 ,-,-,,
1-chloro-3-methylbenzene,108-41-8,126.024,1.57,-,0.06,0.06,-,-,38,-,46 ,46 ,-,-,,
"(1s,5r)-6,8-dioxabicyclo[3.2.1]oct-2-en-4-one",37112-31-5,126.032,2.13,(4.59),0.12,0.12,-,-,18,(22),15 ,15 ,-,-,,
cyclooctanone,502-49-8,126.104,2.67,(3.11),0.08,0.08,-,-,20,(21),9 ,9 ,-,-,,
"n,n-dimethylcyclohexanamine",98-94-2,127.136,3.22,(7.21),0.27,0.27,-,-,32,(37),20 ,20 ,-,-,,
dichloro-ethylsilane,1789-58-8,127.962,0.90,-,0.21,0.21,-,-,13,-,3 ,3 ,-,-,,
ethanesulfonyl chloride,594-44-5,127.970,4.85,(10.18),0.09,0.09,-,-,38,(43),11 ,11 ,-,-,,
"(e)-1,1,1,3-tetrafluorobut-2-ene",791616-87-0,128.025,0.81,-,5.13,5.13,-,(2.76),14,-,57 ,57 ,-,(55),,
3-acetyloxolan-2-one,517-23-7,128.047,7.29,-,0.11,0.11,-,-,32,-,4 ,4 ,-,-,,
"(1s,5r)-6,8-dioxabicyclo[3.2.1]octan-4-one",53716-82-8,128.047,2.50,(3.10),0.16,0.16,-,-,24,(25),73 ,73 ,-,-,,
cyclopentyl acetate,933-05-1,128.084,1.56,-,0.04,0.04,-,-,20,-,8 ,8 ,-,-,,
ethyl cyclobutanecarboxylate,14924-53-9,128.084,3.54,-,0.58,0.58,-,-,10,-,13 ,13 ,-,-,,
5-propyloxolan-2-one,105-21-5,128.084,3.19,-,0.42,0.42,-,-,19,-,59 ,59 ,-,-,,
"1,3-dimethyl-1,3-diazinan-2-one",7226-23-5,128.095,12.10,-,0.07,0.07,-,-,26,-,43 ,43 ,-,-,,
cyclooctanol,696-71-9,128.120,11.43,(18.03),0.32,0.32,-,-,5,(6),6 ,6 ,-,-,,
nitrocyclohexane,1122-60-7,129.079,2.88,(6.53),0.16,0.16,-,-,17,(18),22 ,22 ,-,-,,
"2-chloro-3,3,3-trifluoroprop-1-ene",2730-62-3,129.980,1.74,(1.79),0.50,-,0.50,-,216,(217),11 ,-,11 ,-,,
"(e)-1-chloro-3,3,3-trifluoroprop-1-ene",102687-65-0,129.980,0.93,-,0.33,0.32,0.39,(1.80),339,-,364 ,340 ,24 ,(173),,
"1,2-dihydronaphthalene",447-53-0,130.078,2.26,(3.14),0.09,-,0.09,-,51,(52),7 ,-,7 ,-,,
methyl hexanoate,106-70-7,130.099,1.95,(2.27),0.46,0.46,0.00,-,144,(147),330 ,329 ,1 ,-,,
ethyl pentanoate,539-82-2,130.099,2.31,(3.51),0.40,0.41,0.27,-,56,(59),319 ,302 ,17 ,-,,
ethyl 2-methylbutanoate,7452-79-1,130.099,0.48,-,0.36,0.36,-,-,20,-,14 ,14 ,-,-,,
1-[(2-methylpropan-2-yl)oxy]butane,1000-63-1,130.136,1.84,-,0.06,0.06,-,-,19,-,6 ,6 ,-,-,,
octan-3-ol,589-98-0,130.136,2.21,(5.52),0.43,0.43,-,-,31,(38),4 ,4 ,-,-,,
1-(2-methylpropoxy)butane,17071-47-5,130.136,11.25,-,0.08,0.08,-,-,8,-,11 ,11 ,-,-,,
2-methylheptan-3-ol,18720-62-2,130.136,8.04,(16.83),0.27,0.27,-,-,8,(11),4 ,4 ,-,-,,
6-methylheptan-3-ol,18720-66-6,130.136,7.34,-,0.79,0.79,-,-,7,-,4 ,4 ,-,-,,
3-methylheptan-4-ol,1838-73-9,130.136,4.58,-,0.67,0.67,-,-,6,-,4 ,4 ,-,-,,
3-methylheptan-1-ol,1070-32-2,130.136,9.78,-,0.47,0.47,-,-,5,-,4 ,4 ,-,-,,
"n,n,n?,n?-tetramethylpropane-1,3-diamine",110-95-2,130.147,2.79,(3.22),0.17,0.17,-,-,22,(23),6 ,6 ,-,-,,
"n?,n?-diethylpropane-1,3-diamine",104-78-9,130.147,4.01,(6.87),0.44,0.44,-,-,66,(79),8 ,8 ,-,-,,
2-methyl-1h-indole,95-20-5,131.073,0.33,(6.48),0.69,0.69,-,-,77,(78),3 ,3 ,-,-,,
3-butoxypropan-1-amine,16499-88-0,131.131,0.99,-,0.08,0.08,-,-,10,-,5 ,5 ,-,-,,
"n?-(3-aminopropyl)propane-1,3-diamine",56-18-8,131.142,1.44,(10.08),0.32,0.32,-,-,23,(29),12 ,12 ,-,-,,
"(z)-1,2,3,3,3-pentafluoroprop-1-ene",5528-43-8,132.000,0.20,-,0.34,0.34,-,(0.58),96,-,272 ,272 ,-,(104),,
"2,2,3,3-tetrafluoropropan-1-ol",76-37-9,132.020,3.76,-,0.38,0.39,0.35,-,27,-,22 ,15 ,7 ,-,,
(e)-3-phenylprop-2-enal,104-55-2,132.058,11.69,(21.59),0.69,0.69,-,-,14,(16),75 ,75 ,-,-,,
2-[2-(dimethylamino)ethoxy]ethanol,1704-62-7,133.110,3.09,(7.99),0.07,0.07,-,-,57,(72),10 ,10 ,-,-,,
chlorosulfanylthiohypochlorite,10025-67-9,133.882,2.54,(10.20),0.34,0.34,-,-,25,(26),14 ,14 ,-,-,,
"1,2-dichloro-1,1-difluoroethane",1649-08-7,133.950,0.85,-,0.21,0.21,-,-,41,-,56 ,56 ,-,-,,
tetramethylgermane,865-52-1,134.015,4.08,(4.83),0.31,0.17,0.52,-,71,(74),10 ,6 ,4 ,-,,
prop-2-enoxybenzene,1746-13-0,134.073,1.49,(2.10),0.06,0.06,-,-,27,(28),8 ,8 ,-,-,,
1-phenylpropan-1-one,93-55-0,134.073,3.77,(5.77),0.28,0.28,-,-,21,(25),130 ,130 ,-,-,,
"3,4-dihydro-2h-chromene",493-08-3,134.073,0.24,(2.86),0.08,-,0.08,-,33,(35),6 ,-,6 ,-,,
1-phenylpropan-2-one,103-79-7,134.073,14.44,-,0.25,0.25,-,-,7,-,10 ,10 ,-,-,,
1-propylsulfinylpropane,4253-91-2,134.077,4.66,(20.50),0.02,0.02,-,-,6,(8),4 ,4 ,-,-,,
1-chloroheptane,629-06-1,134.086,1.14,(2.99),0.32,0.32,-,-,23,(25),83 ,83 ,-,-,,
3-(3-hydroxypropoxy)propan-1-ol,2396-61-4,134.094,1.75,-,1.16,1.16,-,-,21,-,14 ,14 ,-,-,,
"n,n-dimethyl-1-phenylmethanamine",103-83-3,135.105,1.29,(8.04),0.09,0.09,-,-,13,(16),42 ,42 ,-,-,,
2-bromo-2-methylpropane,507-19-7,135.989,1.84,(2.51),0.03,0.03,-,-,49,(50),5 ,5 ,-,-,,
1-bromo-2-methylpropane,78-77-3,135.989,0.84,-,0.85,0.85,-,-,33,-,20 ,20 ,-,-,,
4-methoxybenzaldehyde,123-11-5,136.052,3.71,(20.58),0.43,0.43,-,-,22,(28),28 ,28 ,-,-,,
2-methoxybenzaldehyde,135-02-4,136.052,1.95,(5.04),0.07,0.07,-,-,30,(31),4 ,4 ,-,-,,
methoxy(methoxymethoxymethoxy)methane,13353-03-2,136.074,2.82,-,0.16,0.16,-,-,35,-,16 ,16 ,-,-,,
propan-2-yloxybenzene,2741-16-4,136.089,1.48,-,0.03,0.03,-,-,36,-,9 ,9 ,-,-,,
propoxybenzene,622-85-5,136.089,2.32,(3.61),0.07,0.07,-,-,13,(15),11 ,11 ,-,-,,
octanedinitrile,629-40-3,136.100,2.28,(12.81),0.11,0.11,-,-,10,(13),4 ,4 ,-,-,,
"tricyclo[5.2.1.02,6]decane",6004-38-2,136.125,0.72,-,0.09,0.09,-,-,19,-,7 ,7 ,-,-,,
(4s)-1-methyl-4-prop-1-en-2-ylcyclohexene,5989-54-8,136.125,0.92,-,0.13,0.13,-,-,101,-,8 ,8 ,-,-,,
1-methyl-4-prop-1-en-2-ylcyclohexene,138-86-3,136.125,3.36,(6.00),0.62,0.62,-,-,109,(121),48 ,48 ,-,-,,
"(1r,2s,6r,7s)-tricyclo[5.2.1.02,6]decane",2825-82-3,136.125,2.41,(3.82),4.06,4.03,6.51,(25.56),83,(86),363 ,359 ,4 ,(32),,
"(1r,5r)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",7785-70-8,136.125,2.60,(3.28),0.03,0.03,-,-,47,(48),5 ,5 ,-,-,,
"(1s,5s)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",7785-26-4,136.125,0.37,(0.67),0.43,0.43,-,-,48,(49),211 ,211 ,-,-,,
"7-methyl-3-methylideneocta-1,6-diene",123-35-3,136.125,1.35,(3.89),0.40,0.40,-,-,38,(46),7 ,7 ,-,-,,
"(1s,5s)-6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",18172-67-3,136.125,1.79,-,0.32,0.32,-,-,79,-,34 ,34 ,-,-,,
1-methyl-4-nitrobenzene,99-99-0,137.048,4.14,(14.51),0.29,0.29,-,-,293,(363),49 ,49 ,-,-,,
1-methyl-3-nitrobenzene,99-08-1,137.048,3.22,(4.67),0.19,0.19,-,-,88,(95),30 ,30 ,-,-,,
methyl pyridine-4-carboxylate,2459-09-8,137.048,1.45,(10.52),0.11,0.11,-,-,31,(37),4 ,4 ,-,-,,
1-methyl-2-nitrobenzene,88-72-2,137.048,2.29,(9.40),0.25,0.25,-,-,281,(332),46 ,46 ,-,-,,
4-nitroaniline,100-01-6,138.043,2.69,(11.37),2.60,2.60,-,-,17,(22),4 ,4 ,-,-,,
3-nitroaniline,99-09-2,138.043,1.95,(4.95),0.33,0.33,-,-,27,(31),8 ,8 ,-,-,,
2-nitroaniline,88-74-4,138.043,2.05,(4.36),2.21,2.21,-,-,32,(39),5 ,5 ,-,-,,
diethoxy(oxo)phosphanium,762-04-9,138.045,2.62,(7.28),0.06,0.06,-,-,26,(31),4 ,4 ,-,-,,
ethylsulfanylbenzene,622-38-8,138.050,1.60,-,0.07,0.07,-,-,22,-,8 ,8 ,-,-,,
"1,2-dimethoxybenzene",91-16-7,138.068,8.84,-,0.60,0.60,-,-,12,-,24 ,24 ,-,-,,
"1,3-dimethoxybenzene",151-10-0,138.068,6.30,(10.54),0.34,0.34,-,-,15,(17),25 ,25 ,-,-,,
cyclopentylcyclopentane,1636-39-1,138.141,1.74,-,1.53,0.16,1.98,-,26,-,4 ,1 ,3 ,-,,
"1,2,3,4,4a,5,6,7,8,8a-decahydronaphthalene",91-17-8,138.141,3.23,(4.64),0.48,0.48,-,-,51,(56),90 ,90 ,-,-,,
"2,6,6-trimethylbicyclo[3.1.1]heptane",473-55-2,138.141,0.79,-,0.07,0.07,-,-,23,-,9 ,9 ,-,-,,
2-nitrophenol,88-75-5,139.027,1.48,(3.86),0.27,0.27,-,-,13,(14),35 ,35 ,-,-,,
4-nitrophenol,100-02-7,139.027,9.04,-,0.16,0.16,-,-,27,-,23 ,23 ,-,-,,
nonanenitrile,2243-27-8,139.136,4.70,(5.17),0.04,0.04,-,-,70,(71),8 ,8 ,-,-,,
